Tour,Joueur,Mouvement,Pice,Position,start,end,Piece
1,White,e2e4,,♙ moved from e2 to e4,"(6, 4)","(4, 4)",♙
1,Black,d7d5,,♟ moved from d7 to d5,"(1, 3)","(3, 3)",♟
2,White,d2d4,,♙ moved from d2 to d4,"(6, 3)","(4, 3)",♙
2,Black,d5e4,,♟ moved from d5 to e4,"(3, 3)","(4, 4)",♟
3,White,f1b5,,♗ moved from f1 to b5 - ÉCHEC au roi black !,"(7, 5)","(3, 1)",♗
3,Black,c7c6,,♟ moved from c7 to c6,"(1, 2)","(2, 2)",♟
4,White,g1f3,,♘ moved from g1 to f3,"(7, 6)","(5, 5)",♘
4,Black,c6b5,,♟ moved from c6 to b5,"(2, 2)","(3, 1)",♟
5,White,f3e5,,♘ moved from f3 to e5,"(5, 5)","(3, 4)",♘
5,Black,d8d5,,♛ moved from d8 to d5,"(0, 3)","(3, 3)",♛
6,White,a2a3,,♙ moved from a2 to a3,"(6, 0)","(5, 0)",♙
6,Black,f7f5,,♟ moved from f7 to f5,"(1, 5)","(3, 5)",♟
7,White,d1h5,,♕ moved from d1 to h5 - ÉCHEC au roi black !,"(7, 3)","(3, 7)",♕
